accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,tn,fp,fn,tp,model,best_epoch,Focal,AdaptiveThreshold
0.0017380007724447878,0.5,0.0017380007724447878,1.0,0.0034699707330751303,0.5,0.0017380007724447878,0.0,0,56863,0,99,ZeroR (Majority Class),,False,True
0.0017380007724447878,0.5,0.0017380007724447878,1.0,0.0034699707330751303,0.5,0.0017380007724447878,0.5,0,56863,0,99,Random Guess,,False,True
0.9992802219023208,0.8988052446452461,0.79,0.797979797979798,0.7939698492462312,0.8988052446452461,0.630755151671201,1.0,56842,21,20,79,Decision Tree (No Prune),,False,True
0.9876233278325901,0.867758090196231,0.09814323607427056,0.7474747474747475,0.1735052754982415,0.9619335823458013,0.08547104181491026,1.0,56183,680,25,74,Naive Bayes,,False,True
0.9991924440855307,0.8937195673386167,0.7572815533980582,0.7878787878787878,0.7722772277227723,0.9670737944131892,0.7744593788226822,0.11519761704868738,56838,25,21,78,Logistic (Unweighted),,False,True
0.9994557775359011,0.893851463299083,0.8863636363636364,0.7878787878787878,0.8342245989304813,0.9662282391649468,0.7574658916735117,0.9999999975808631,56853,10,21,78,Logistic (Balanced),,False,True
0.999420666409185,0.8837504531980729,0.8837209302325582,0.7676767676767676,0.8216216216216217,0.9519818766956625,0.7415779510300848,0.4852409064769745,56853,10,23,76,"MLP (32,16)",,False,True
0.999385555282469,0.8837328670700106,0.8636363636363636,0.7676767676767676,0.8128342245989305,0.9667210948448308,0.7496004782816794,0.6739462614059448,56851,12,23,76,Plain CNN,16.0,False,True
0.9994557775359011,0.898893175285557,0.8777777777777778,0.797979797979798,0.8359788359788359,0.9544251938515343,0.7566065822042319,0.5334600210189819,56852,11,20,79,QRBM + CNN,31.0,False,True
0.9994908886626171,0.9039524734000931,0.8888888888888888,0.8080808080808081,0.8465608465608465,0.9771760479777996,0.7668528056724749,0.4068719744682312,56853,10,19,80,QRBM + CNN + Focal,35.0,True,False
0.9994908886626171,0.9039524734000931,0.8888888888888888,0.8080808080808081,0.8465608465608465,0.9771760479777996,0.7668528056724749,0.4068719744682312,56853,10,19,80,QRBM + CNN + Focal + Adaptive Threshold,35.0,True,True
